cable_id,ifc_global_id,name,ifc_class,floor_id,storey,x,y,z,size_label,width_mm,height_mm,length_mm,system_code,system_name,source_file,source_system,value_class,extraction_confidence,notes,raw_properties_json
cab_3y41SEUa53GBkcUQBrygUM,3y41SEUa53GBkcUQBrygUM,G02-TIKAS-VAAKA-T-HAARA-R0,IfcCableCarrierFitting,floor_basement,00_Kellari,54.462,75.14,54.525,300 mm x 50 mm - 300 mm x 50 mm - 300 mm x 50 mm,,,,AHJ.SÄH,Asennushyllyjärjestelmä - sähkö,ELE_enriched.ifc,ifc_ele,ifc_derived,high,,"{""FI_Tuote"": {""Tuotetyypin kommentti"": ""\""Tuotetyypin kommentti\"""", ""Sarjan nimi"": ""G02-Tikashylly-Nollakulma"", ""Tuotetyypin valmistaja"": ""Generic"", ""Tuotetyypin nimi"": ""G02-TIKAS-VAAKA-T-HAARA-R0"", ""Tuotetyypin kuvaus"": ""\""Tuotetyypin kuvaus\"""", ""Tuotteen kommentti"": ""\""Tuotteen kommentti\"""", ""id"": 30804}, ""FI_Geometria"": {""Koko"": ""300 mm x 50 mm - 300 mm x 50 mm - 300 mm x 50 mm"", ""id"": 30844}, ""FI_Komponentti"": {""04 Komponentin yleisnimi"": ""Asennushyllyn T-kappale"", ""01 Komponentin pääryhmä"": ""REITITYKSET JA ASENNUKSET - TATE"", ""Status"": ""\""Status\"""", ""05 Komponentin yleistunnus"": ""AHT"", ""03 Komponentin koodi"": ""T-TATE-01-01-003"", ""02 Komponentin alaryhmä"": ""ASENNUSHYLLYT JA -HYLLYOSAT"", ""id"": 30852}, ""FI_Asennus"": {""04 Komponentin alapinnan korko, abs."": 54499.999, ""12 Komponentin yläpinnan korko, kerroskorosta"": 2650.001, ""14 Komponentin alapinnan korko, kerroskorosta"": 2599.999, ""13 Asennuskorko, kerroskorosta"": 2625.0, ""03 Asennuskorko, abs."": 54525.0, ""02 Komponentin yläpinnan korko, abs."": 54550.001, ""id"": 30860}, ""FI_Sijainti"": {""Järjestelmien tunnukset"": ""AHJ.SÄH"", ""Järjestelmien nimet"": ""Asennushyllyjärjestelmä - sähkö"", ""id"": 30962}}"
cab_3y41SEUa53GBkcUQBrygUP,3y41SEUa53GBkcUQBrygUP,G02-TIKAS-VAAKA-KULMA-R0,IfcCableCarrierFitting,floor_basement,00_Kellari,61.657,66.665,54.525,300 mm x 50 mm - 300 mm x 50 mm,,,,AHJ.SÄH,Asennushyllyjärjestelmä - sähkö,ELE_enriched.ifc,ifc_ele,ifc_derived,high,,"{""FI_Komponentti"": {""03 Komponentin koodi"": ""T-TATE-01-01-002"", ""01 Komponentin pääryhmä"": ""REITITYKSET JA ASENNUKSET - TATE"", ""Status"": ""\""Status\"""", ""05 Komponentin yleistunnus"": ""AHK"", ""04 Komponentin yleisnimi"": ""Asennushyllyn kulmakappale"", ""02 Komponentin alaryhmä"": ""ASENNUSHYLLYT JA -HYLLYOSAT"", ""id"": 30780}, ""FI_Geometria"": {""Taivutussäde"": 0.0, ""Kulma"": ""90"", ""Koko"": ""300 mm x 50 mm - 300 mm x 50 mm"", ""id"": 30796}, ""FI_Tuote"": {""Tuotetyypin kommentti"": ""\""Tuotetyypin kommentti\"""", ""Sarjan nimi"": ""G02-Tikashylly-Nollakulma"", ""Tuotetyypin nimi"": ""G02-TIKAS-VAAKA-KULMA-R0"", ""Tuotetyypin valmistaja"": ""Generic"", ""Tuotetyypin kuvaus"": ""\""Tuotetyypin kuvaus\"""", ""Tuotteen kommentti"": ""\""Tuotteen kommentti\"""", ""id"": 30848}, ""FI_Asennus"": {""04 Komponentin alapinnan korko, abs."": 54499.999, ""12 Komponentin yläpinnan korko, kerroskorosta"": 2650.001, ""14 Komponentin alapinnan korko, kerroskorosta"": 2599.999, ""13 Asennuskorko, kerroskorosta"": 2625.0, ""03 Asennuskorko, abs."": 54525.0, ""02 Komponentin yläpinnan korko, abs."": 54550.001, ""id"": 30860}, ""FI_Sijainti"": {""Järjestelmien tunnukset"": ""AHJ.SÄH"", ""Järjestelmien nimet"": ""Asennushyllyjärjestelmä - sähkö"", ""id"": 30962}}"
cab_3y41SEUa53GBkcUQBrygUW,3y41SEUa53GBkcUQBrygUW,G02-TIKAS-VAAKA-KULMA-R0,IfcCableCarrierFitting,floor_basement,00_Kellari,39.255,47.647,54.525,300 mm x 50 mm - 300 mm x 50 mm,,,,AHJ.SÄH,Asennushyllyjärjestelmä - sähkö,ELE_enriched.ifc,ifc_ele,ifc_derived,high,,"{""FI_Komponentti"": {""03 Komponentin koodi"": ""T-TATE-01-01-002"", ""01 Komponentin pääryhmä"": ""REITITYKSET JA ASENNUKSET - TATE"", ""Status"": ""\""Status\"""", ""05 Komponentin yleistunnus"": ""AHK"", ""04 Komponentin yleisnimi"": ""Asennushyllyn kulmakappale"", ""02 Komponentin alaryhmä"": ""ASENNUSHYLLYT JA -HYLLYOSAT"", ""id"": 30780}, ""FI_Geometria"": {""Taivutussäde"": 0.0, ""Kulma"": ""90"", ""Koko"": ""300 mm x 50 mm - 300 mm x 50 mm"", ""id"": 30796}, ""FI_Tuote"": {""Tuotetyypin kommentti"": ""\""Tuotetyypin kommentti\"""", ""Sarjan nimi"": ""G02-Tikashylly-Nollakulma"", ""Tuotetyypin nimi"": ""G02-TIKAS-VAAKA-KULMA-R0"", ""Tuotetyypin valmistaja"": ""Generic"", ""Tuotetyypin kuvaus"": ""\""Tuotetyypin kuvaus\"""", ""Tuotteen kommentti"": ""\""Tuotteen kommentti\"""", ""id"": 30848}, ""FI_Asennus"": {""04 Komponentin alapinnan korko, abs."": 54499.999, ""12 Komponentin yläpinnan korko, kerroskorosta"": 2650.001, ""14 Komponentin alapinnan korko, kerroskorosta"": 2599.999, ""13 Asennuskorko, kerroskorosta"": 2625.0, ""03 Asennuskorko, abs."": 54525.0, ""02 Komponentin yläpinnan korko, abs."": 54550.001, ""id"": 30860}, ""FI_Sijainti"": {""Järjestelmien tunnukset"": ""AHJ.SÄH"", ""Järjestelmien nimet"": ""Asennushyllyjärjestelmä - sähkö"", ""id"": 30962}}"
cab_3y41SEUa53GBkcUQBrygV_,3y41SEUa53GBkcUQBrygV_,G02-TIKAS-VAAKA-KULMA-R0,IfcCableCarrierFitting,floor_basement,00_Kellari,72.658,69.718,54.525,300 mm x 50 mm - 300 mm x 50 mm,,,,AHJ.SÄH,Asennushyllyjärjestelmä - sähkö,ELE_enriched.ifc,ifc_ele,ifc_derived,high,,"{""FI_Komponentti"": {""03 Komponentin koodi"": ""T-TATE-01-01-002"", ""01 Komponentin pääryhmä"": ""REITITYKSET JA ASENNUKSET - TATE"", ""Status"": ""\""Status\"""", ""05 Komponentin yleistunnus"": ""AHK"", ""04 Komponentin yleisnimi"": ""Asennushyllyn kulmakappale"", ""02 Komponentin alaryhmä"": ""ASENNUSHYLLYT JA -HYLLYOSAT"", ""id"": 30780}, ""FI_Geometria"": {""Taivutussäde"": 0.0, ""Kulma"": ""90"", ""Koko"": ""300 mm x 50 mm - 300 mm x 50 mm"", ""id"": 30796}, ""FI_Tuote"": {""Tuotetyypin kommentti"": ""\""Tuotetyypin kommentti\"""", ""Sarjan nimi"": ""G02-Tikashylly-Nollakulma"", ""Tuotetyypin nimi"": ""G02-TIKAS-VAAKA-KULMA-R0"", ""Tuotetyypin valmistaja"": ""Generic"", ""Tuotetyypin kuvaus"": ""\""Tuotetyypin kuvaus\"""", ""Tuotteen kommentti"": ""\""Tuotteen kommentti\"""", ""id"": 30848}, ""FI_Asennus"": {""04 Komponentin alapinnan korko, abs."": 54499.999, ""12 Komponentin yläpinnan korko, kerroskorosta"": 2650.001, ""14 Komponentin alapinnan korko, kerroskorosta"": 2599.999, ""13 Asennuskorko, kerroskorosta"": 2625.0, ""03 Asennuskorko, abs."": 54525.0, ""02 Komponentin yläpinnan korko, abs."": 54550.001, ""id"": 30860}, ""FI_Sijainti"": {""Järjestelmien tunnukset"": ""AHJ.SÄH"", ""Järjestelmien nimet"": ""Asennushyllyjärjestelmä - sähkö"", ""id"": 30962}}"
cab_3y41SEUa53GBkcUQBryg0i,3y41SEUa53GBkcUQBryg0i,G02-TIKAS-VAAKA-KULMA-R0,IfcCableCarrierFitting,floor_basement,00_Kellari,25.51,31.764,54.275,300 mm x 50 mm - 300 mm x 50 mm,,,,AHJ.SÄH,Asennushyllyjärjestelmä - sähkö,ELE_enriched.ifc,ifc_ele,ifc_derived,high,,"{""FI_Komponentti"": {""03 Komponentin koodi"": ""T-TATE-01-01-002"", ""01 Komponentin pääryhmä"": ""REITITYKSET JA ASENNUKSET - TATE"", ""Status"": ""\""Status\"""", ""05 Komponentin yleistunnus"": ""AHK"", ""04 Komponentin yleisnimi"": ""Asennushyllyn kulmakappale"", ""02 Komponentin alaryhmä"": ""ASENNUSHYLLYT JA -HYLLYOSAT"", ""id"": 30780}, ""FI_Geometria"": {""Taivutussäde"": 0.0, ""Kulma"": ""90"", ""Koko"": ""300 mm x 50 mm - 300 mm x 50 mm"", ""id"": 30796}, ""FI_Tuote"": {""Tuotetyypin kommentti"": ""\""Tuotetyypin kommentti\"""", ""Sarjan nimi"": ""G02-Tikashylly-Nollakulma"", ""Tuotetyypin nimi"": ""G02-TIKAS-VAAKA-KULMA-R0"", ""Tuotetyypin valmistaja"": ""Generic"", ""Tuotetyypin kuvaus"": ""\""Tuotetyypin kuvaus\"""", ""Tuotteen kommentti"": ""\""Tuotteen kommentti\"""", ""id"": 30848}, ""FI_Sijainti"": {""Järjestelmien tunnukset"": ""AHJ.SÄH"", ""Järjestelmien nimet"": ""Asennushyllyjärjestelmä - sähkö"", ""id"": 30962}, ""FI_Asennus"": {""14 Komponentin alapinnan korko, kerroskorosta"": 2350.0, ""13 Asennuskorko, kerroskorosta"": 2375.0, ""04 Komponentin alapinnan korko, abs."": 54250.0, ""03 Asennuskorko, abs."": 54275.0, ""12 Komponentin yläpinnan korko, kerroskorosta"": 2400.002, ""02 Komponentin yläpinnan korko, abs."": 54300.002, ""id"": 30964}}"
cab_3y41SEUa53GBkcUQBryg0m,3y41SEUa53GBkcUQBryg0m,G02-TIKAS-VAAKA-T-HAARA-R0,IfcCableCarrierFitting,floor_basement,00_Kellari,38.974,47.476,54.525,300 mm x 50 mm - 300 mm x 50 mm - 300 mm x 50 mm,,,,AHJ.SÄH,Asennushyllyjärjestelmä - sähkö,ELE_enriched.ifc,ifc_ele,ifc_derived,high,,"{""FI_Tuote"": {""Tuotetyypin kommentti"": ""\""Tuotetyypin kommentti\"""", ""Sarjan nimi"": ""G02-Tikashylly-Nollakulma"", ""Tuotetyypin valmistaja"": ""Generic"", ""Tuotetyypin nimi"": ""G02-TIKAS-VAAKA-T-HAARA-R0"", ""Tuotetyypin kuvaus"": ""\""Tuotetyypin kuvaus\"""", ""Tuotteen kommentti"": ""\""Tuotteen kommentti\"""", ""id"": 30804}, ""FI_Geometria"": {""Koko"": ""300 mm x 50 mm - 300 mm x 50 mm - 300 mm x 50 mm"", ""id"": 30844}, ""FI_Komponentti"": {""04 Komponentin yleisnimi"": ""Asennushyllyn T-kappale"", ""01 Komponentin pääryhmä"": ""REITITYKSET JA ASENNUKSET - TATE"", ""Status"": ""\""Status\"""", ""05 Komponentin yleistunnus"": ""AHT"", ""03 Komponentin koodi"": ""T-TATE-01-01-003"", ""02 Komponentin alaryhmä"": ""ASENNUSHYLLYT JA -HYLLYOSAT"", ""id"": 30852}, ""FI_Asennus"": {""04 Komponentin alapinnan korko, abs."": 54499.999, ""12 Komponentin yläpinnan korko, kerroskorosta"": 2650.001, ""14 Komponentin alapinnan korko, kerroskorosta"": 2599.999, ""13 Asennuskorko, kerroskorosta"": 2625.0, ""03 Asennuskorko, abs."": 54525.0, ""02 Komponentin yläpinnan korko, abs."": 54550.001, ""id"": 30860}, ""FI_Sijainti"": {""Järjestelmien tunnukset"": ""AHJ.SÄH"", ""Järjestelmien nimet"": ""Asennushyllyjärjestelmä - sähkö"", ""id"": 30962}}"
cab_3y41SEUa53GBkcUQBryg1E,3y41SEUa53GBkcUQBryg1E,G02-TIKAS-VAAKA-T-HAARA-R0,IfcCableCarrierFitting,floor_basement,00_Kellari,30.545,54.835,54.525,300 mm x 50 mm - 300 mm x 50 mm - 300 mm x 50 mm,,,,AHJ.SÄH,Asennushyllyjärjestelmä - sähkö,ELE_enriched.ifc,ifc_ele,ifc_derived,high,,"{""FI_Tuote"": {""Tuotetyypin kommentti"": ""\""Tuotetyypin kommentti\"""", ""Sarjan nimi"": ""G02-Tikashylly-Nollakulma"", ""Tuotetyypin valmistaja"": ""Generic"", ""Tuotetyypin nimi"": ""G02-TIKAS-VAAKA-T-HAARA-R0"", ""Tuotetyypin kuvaus"": ""\""Tuotetyypin kuvaus\"""", ""Tuotteen kommentti"": ""\""Tuotteen kommentti\"""", ""id"": 30804}, ""FI_Geometria"": {""Koko"": ""300 mm x 50 mm - 300 mm x 50 mm - 300 mm x 50 mm"", ""id"": 30844}, ""FI_Komponentti"": {""04 Komponentin yleisnimi"": ""Asennushyllyn T-kappale"", ""01 Komponentin pääryhmä"": ""REITITYKSET JA ASENNUKSET - TATE"", ""Status"": ""\""Status\"""", ""05 Komponentin yleistunnus"": ""AHT"", ""03 Komponentin koodi"": ""T-TATE-01-01-003"", ""02 Komponentin alaryhmä"": ""ASENNUSHYLLYT JA -HYLLYOSAT"", ""id"": 30852}, ""FI_Asennus"": {""04 Komponentin alapinnan korko, abs."": 54499.999, ""12 Komponentin yläpinnan korko, kerroskorosta"": 2650.001, ""14 Komponentin alapinnan korko, kerroskorosta"": 2599.999, ""13 Asennuskorko, kerroskorosta"": 2625.0, ""03 Asennuskorko, abs."": 54525.0, ""02 Komponentin yläpinnan korko, abs."": 54550.001, ""id"": 30860}, ""FI_Sijainti"": {""Järjestelmien tunnukset"": ""AHJ.SÄH"", ""Järjestelmien nimet"": ""Asennushyllyjärjestelmä - sähkö"", ""id"": 30962}}"
cab_3y41SEUa53GBkcUQBryg1T,3y41SEUa53GBkcUQBryg1T,G02-TIKAS-VAAKA-X-HAARA-R0,IfcCableCarrierFitting,floor_basement,00_Kellari,37.706,46.4,54.525,300 mm x 50 mm - 300 mm x 50 mm - 300 mm x 50 mm - 300 mm x 50 mm,,,,AHJ.SÄH,Asennushyllyjärjestelmä - sähkö,ELE_enriched.ifc,ifc_ele,ifc_derived,high,,"{""FI_Komponentti"": {""04 Komponentin yleisnimi"": ""Asennushyllyn X-kappale"", ""01 Komponentin pääryhmä"": ""REITITYKSET JA ASENNUKSET - TATE"", ""Status"": ""\""Status\"""", ""05 Komponentin yleistunnus"": ""AHX"", ""02 Komponentin alaryhmä"": ""ASENNUSHYLLYT JA -HYLLYOSAT"", ""03 Komponentin koodi"": ""T-TATE-01-01-004"", ""id"": 30806}, ""FI_Asennus"": {""04 Komponentin alapinnan korko, abs."": 54499.999, ""12 Komponentin yläpinnan korko, kerroskorosta"": 2650.001, ""14 Komponentin alapinnan korko, kerroskorosta"": 2599.999, ""13 Asennuskorko, kerroskorosta"": 2625.0, ""03 Asennuskorko, abs."": 54525.0, ""02 Komponentin yläpinnan korko, abs."": 54550.001, ""id"": 30860}, ""FI_Geometria"": {""Koko"": ""300 mm x 50 mm - 300 mm x 50 mm - 300 mm x 50 mm - 300 mm x 50 mm"", ""id"": 30914}, ""FI_Tuote"": {""Tuotetyypin kommentti"": ""\""Tuotetyypin kommentti\"""", ""Sarjan nimi"": ""G02-Tikashylly-Nollakulma"", ""Tuotetyypin valmistaja"": ""Generic"", ""Tuotetyypin nimi"": ""G02-TIKAS-VAAKA-X-HAARA-R0"", ""Tuotetyypin kuvaus"": ""\""Tuotetyypin kuvaus\"""", ""Tuotteen kommentti"": ""\""Tuotteen kommentti\"""", ""id"": 30932}, ""FI_Sijainti"": {""Järjestelmien tunnukset"": ""AHJ.SÄH"", ""Järjestelmien nimet"": ""Asennushyllyjärjestelmä - sähkö"", ""id"": 30962}}"
cab_28ocKr1hjBERpQlNm9SElp,28ocKr1hjBERpQlNm9SElp,G02-TIKAS-VAAKA-KULMA-R0,IfcCableCarrierFitting,floor_basement,00_Kellari,31.225,43.422,54.525,300 mm x 50 mm - 300 mm x 50 mm,,,,AHJ.SÄH,Asennushyllyjärjestelmä - sähkö,ELE_enriched.ifc,ifc_ele,ifc_derived,high,,"{""FI_Komponentti"": {""03 Komponentin koodi"": ""T-TATE-01-01-002"", ""01 Komponentin pääryhmä"": ""REITITYKSET JA ASENNUKSET - TATE"", ""Status"": ""\""Status\"""", ""05 Komponentin yleistunnus"": ""AHK"", ""04 Komponentin yleisnimi"": ""Asennushyllyn kulmakappale"", ""02 Komponentin alaryhmä"": ""ASENNUSHYLLYT JA -HYLLYOSAT"", ""id"": 30780}, ""FI_Geometria"": {""Taivutussäde"": 0.0, ""Kulma"": ""90"", ""Koko"": ""300 mm x 50 mm - 300 mm x 50 mm"", ""id"": 30796}, ""FI_Tuote"": {""Tuotetyypin kommentti"": ""\""Tuotetyypin kommentti\"""", ""Sarjan nimi"": ""G02-Tikashylly-Nollakulma"", ""Tuotetyypin nimi"": ""G02-TIKAS-VAAKA-KULMA-R0"", ""Tuotetyypin valmistaja"": ""Generic"", ""Tuotetyypin kuvaus"": ""\""Tuotetyypin kuvaus\"""", ""Tuotteen kommentti"": ""\""Tuotteen kommentti\"""", ""id"": 30848}, ""FI_Asennus"": {""04 Komponentin alapinnan korko, abs."": 54499.999, ""12 Komponentin yläpinnan korko, kerroskorosta"": 2650.001, ""14 Komponentin alapinnan korko, kerroskorosta"": 2599.999, ""13 Asennuskorko, kerroskorosta"": 2625.0, ""03 Asennuskorko, abs."": 54525.0, ""02 Komponentin yläpinnan korko, abs."": 54550.001, ""id"": 30860}, ""FI_Sijainti"": {""Järjestelmien tunnukset"": ""AHJ.SÄH"", ""Järjestelmien nimet"": ""Asennushyllyjärjestelmä - sähkö"", ""id"": 30962}}"
cab_2CgpZhgBj2ceFxI2Z5bNoT,2CgpZhgBj2ceFxI2Z5bNoT,G02-TIKAS-PYSTY-SISA-KULMA-R10,IfcCableCarrierFitting,floor_basement,00_Kellari,35.481,43.367,54.325,300 mm x 50 mm - 300 mm x 50 mm,,,,AHJ.SÄH,Asennushyllyjärjestelmä - sähkö,ELE_enriched.ifc,ifc_ele,ifc_derived,high,,"{""FI_Komponentti"": {""03 Komponentin koodi"": ""T-TATE-01-01-002"", ""01 Komponentin pääryhmä"": ""REITITYKSET JA ASENNUKSET - TATE"", ""Status"": ""\""Status\"""", ""05 Komponentin yleistunnus"": ""AHK"", ""04 Komponentin yleisnimi"": ""Asennushyllyn kulmakappale"", ""02 Komponentin alaryhmä"": ""ASENNUSHYLLYT JA -HYLLYOSAT"", ""id"": 30780}, ""FI_Tuote"": {""Tuotetyypin kommentti"": ""\""Tuotetyypin kommentti\"""", ""Sarjan nimi"": ""G02-Tikashylly-Nollakulma"", ""Tuotetyypin valmistaja"": ""Generic"", ""Tuotetyypin kuvaus"": ""\""Tuotetyypin kuvaus\"""", ""Tuotetyypin nimi"": ""G02-TIKAS-PYSTY-SISA-KULMA-R10"", ""Tuotteen kommentti"": ""\""Tuotteen kommentti\"""", ""id"": 30816}, ""FI_Asennus"": {""12 Komponentin yläpinnan korko, kerroskorosta"": 2455.05, ""02 Komponentin yläpinnan korko, abs."": 54355.05, ""13 Asennuskorko, kerroskorosta"": 2425.0, ""03 Asennuskorko, abs."": 54325.0, ""14 Komponentin alapinnan korko, kerroskorosta"": 2400.002, ""04 Komponentin alapinnan korko, abs."": 54300.002, ""id"": 30934}, ""FI_Sijainti"": {""Järjestelmien tunnukset"": ""AHJ.SÄH"", ""Järjestelmien nimet"": ""Asennushyllyjärjestelmä - sähkö"", ""id"": 30962}, ""FI_Geometria"": {""Kulma"": ""45"", ""Taivutussäde"": 10.0, ""Koko"": ""300 mm x 50 mm - 300 mm x 50 mm"", ""id"": 30972}}"
cab_24P3bzV2LEjPhvqqkwxjw1,24P3bzV2LEjPhvqqkwxjw1,G02-TIKAS-PYSTY-ULKO-KULMA-R10,IfcCableCarrierFitting,floor_basement,00_Kellari,35.352,43.52,54.525,300 mm x 50 mm - 300 mm x 50 mm,,,,AHJ.SÄH,Asennushyllyjärjestelmä - sähkö,ELE_enriched.ifc,ifc_ele,ifc_derived,high,,"{""FI_Komponentti"": {""03 Komponentin koodi"": ""T-TATE-01-01-002"", ""01 Komponentin pääryhmä"": ""REITITYKSET JA ASENNUKSET - TATE"", ""Status"": ""\""Status\"""", ""05 Komponentin yleistunnus"": ""AHK"", ""04 Komponentin yleisnimi"": ""Asennushyllyn kulmakappale"", ""02 Komponentin alaryhmä"": ""ASENNUSHYLLYT JA -HYLLYOSAT"", ""id"": 30780}, ""FI_Tuote"": {""Tuotetyypin kommentti"": ""\""Tuotetyypin kommentti\"""", ""Tuotetyypin nimi"": ""G02-TIKAS-PYSTY-ULKO-KULMA-R10"", ""Sarjan nimi"": ""G02-Tikashylly-Nollakulma"", ""Tuotetyypin kuvaus"": ""\""Tuotetyypin kuvaus\"""", ""Tuotteen kommentti"": ""\""Tuotteen kommentti\"""", ""id"": 30882}, ""FI_Asennus"": {""12 Komponentin yläpinnan korko, kerroskorosta"": 2650.001, ""04 Komponentin alapinnan korko, abs."": 54494.948, ""14 Komponentin alapinnan korko, kerroskorosta"": 2594.948, ""13 Asennuskorko, kerroskorosta"": 2625.0, ""03 Asennuskorko, abs."": 54525.0, ""02 Komponentin yläpinnan korko, abs."": 54550.001, ""id"": 30946}, ""FI_Sijainti"": {""Järjestelmien tunnukset"": ""AHJ.SÄH"", ""Järjestelmien nimet"": ""Asennushyllyjärjestelmä - sähkö"", ""id"": 30962}, ""FI_Geometria"": {""Kulma"": ""45"", ""Taivutussäde"": 10.0, ""Koko"": ""300 mm x 50 mm - 300 mm x 50 mm"", ""id"": 30972}}"
cab_24P3bzV2LEjPhvqqkwxjrn,24P3bzV2LEjPhvqqkwxjrn,G02-TIKAS-VAAKA-KULMA-R0,IfcCableCarrierFitting,floor_basement,00_Kellari,37.89,40.53,54.325,300 mm x 50 mm - 300 mm x 50 mm,,,,AHJ.SÄH,Asennushyllyjärjestelmä - sähkö,ELE_enriched.ifc,ifc_ele,ifc_derived,high,,"{""FI_Komponentti"": {""03 Komponentin koodi"": ""T-TATE-01-01-002"", ""01 Komponentin pääryhmä"": ""REITITYKSET JA ASENNUKSET - TATE"", ""Status"": ""\""Status\"""", ""05 Komponentin yleistunnus"": ""AHK"", ""04 Komponentin yleisnimi"": ""Asennushyllyn kulmakappale"", ""02 Komponentin alaryhmä"": ""ASENNUSHYLLYT JA -HYLLYOSAT"", ""id"": 30780}, ""FI_Geometria"": {""Taivutussäde"": 0.0, ""Kulma"": ""90"", ""Koko"": ""300 mm x 50 mm - 300 mm x 50 mm"", ""id"": 30796}, ""FI_Tuote"": {""Tuotetyypin kommentti"": ""\""Tuotetyypin kommentti\"""", ""Sarjan nimi"": ""G02-Tikashylly-Nollakulma"", ""Tuotetyypin nimi"": ""G02-TIKAS-VAAKA-KULMA-R0"", ""Tuotetyypin valmistaja"": ""Generic"", ""Tuotetyypin kuvaus"": ""\""Tuotetyypin kuvaus\"""", ""Tuotteen kommentti"": ""\""Tuotteen kommentti\"""", ""id"": 30848}, ""FI_Sijainti"": {""Järjestelmien tunnukset"": ""AHJ.SÄH"", ""Järjestelmien nimet"": ""Asennushyllyjärjestelmä - sähkö"", ""id"": 30962}, ""FI_Asennus"": {""02 Komponentin yläpinnan korko, abs."": 54349.999, ""12 Komponentin yläpinnan korko, kerroskorosta"": 2449.999, ""13 Asennuskorko, kerroskorosta"": 2425.0, ""03 Asennuskorko, abs."": 54325.0, ""14 Komponentin alapinnan korko, kerroskorosta"": 2400.002, ""04 Komponentin alapinnan korko, abs."": 54300.002, ""id"": 30978}}"
cab_24P3bzV2LEjPhvqqkwxjsJ,24P3bzV2LEjPhvqqkwxjsJ,G02-TIKAS-VAAKA-KULMA-R0,IfcCableCarrierFitting,floor_basement,00_Kellari,54.661,54.768,54.325,300 mm x 50 mm - 300 mm x 50 mm,,,,AHJ.SÄH,Asennushyllyjärjestelmä - sähkö,ELE_enriched.ifc,ifc_ele,ifc_derived,high,,"{""FI_Komponentti"": {""03 Komponentin koodi"": ""T-TATE-01-01-002"", ""01 Komponentin pääryhmä"": ""REITITYKSET JA ASENNUKSET - TATE"", ""Status"": ""\""Status\"""", ""05 Komponentin yleistunnus"": ""AHK"", ""04 Komponentin yleisnimi"": ""Asennushyllyn kulmakappale"", ""02 Komponentin alaryhmä"": ""ASENNUSHYLLYT JA -HYLLYOSAT"", ""id"": 30780}, ""FI_Geometria"": {""Taivutussäde"": 0.0, ""Kulma"": ""90"", ""Koko"": ""300 mm x 50 mm - 300 mm x 50 mm"", ""id"": 30796}, ""FI_Tuote"": {""Tuotetyypin kommentti"": ""\""Tuotetyypin kommentti\"""", ""Sarjan nimi"": ""G02-Tikashylly-Nollakulma"", ""Tuotetyypin nimi"": ""G02-TIKAS-VAAKA-KULMA-R0"", ""Tuotetyypin valmistaja"": ""Generic"", ""Tuotetyypin kuvaus"": ""\""Tuotetyypin kuvaus\"""", ""Tuotteen kommentti"": ""\""Tuotteen kommentti\"""", ""id"": 30848}, ""FI_Sijainti"": {""Järjestelmien tunnukset"": ""AHJ.SÄH"", ""Järjestelmien nimet"": ""Asennushyllyjärjestelmä - sähkö"", ""id"": 30962}, ""FI_Asennus"": {""02 Komponentin yläpinnan korko, abs."": 54349.999, ""12 Komponentin yläpinnan korko, kerroskorosta"": 2449.999, ""13 Asennuskorko, kerroskorosta"": 2425.0, ""03 Asennuskorko, abs."": 54325.0, ""14 Komponentin alapinnan korko, kerroskorosta"": 2400.002, ""04 Komponentin alapinnan korko, abs."": 54300.002, ""id"": 30978}}"
cab_24P3bzV2LEjPhvqqkwxjsM,24P3bzV2LEjPhvqqkwxjsM,G02-TIKAS-VAAKA-KULMA-R0,IfcCableCarrierFitting,floor_basement,00_Kellari,53.831,55.746,54.325,300 mm x 50 mm - 300 mm x 50 mm,,,,AHJ.SÄH,Asennushyllyjärjestelmä - sähkö,ELE_enriched.ifc,ifc_ele,ifc_derived,high,,"{""FI_Komponentti"": {""03 Komponentin koodi"": ""T-TATE-01-01-002"", ""01 Komponentin pääryhmä"": ""REITITYKSET JA ASENNUKSET - TATE"", ""Status"": ""\""Status\"""", ""05 Komponentin yleistunnus"": ""AHK"", ""04 Komponentin yleisnimi"": ""Asennushyllyn kulmakappale"", ""02 Komponentin alaryhmä"": ""ASENNUSHYLLYT JA -HYLLYOSAT"", ""id"": 30780}, ""FI_Geometria"": {""Taivutussäde"": 0.0, ""Kulma"": ""90"", ""Koko"": ""300 mm x 50 mm - 300 mm x 50 mm"", ""id"": 30796}, ""FI_Tuote"": {""Tuotetyypin kommentti"": ""\""Tuotetyypin kommentti\"""", ""Sarjan nimi"": ""G02-Tikashylly-Nollakulma"", ""Tuotetyypin nimi"": ""G02-TIKAS-VAAKA-KULMA-R0"", ""Tuotetyypin valmistaja"": ""Generic"", ""Tuotetyypin kuvaus"": ""\""Tuotetyypin kuvaus\"""", ""Tuotteen kommentti"": ""\""Tuotteen kommentti\"""", ""id"": 30848}, ""FI_Sijainti"": {""Järjestelmien tunnukset"": ""AHJ.SÄH"", ""Järjestelmien nimet"": ""Asennushyllyjärjestelmä - sähkö"", ""id"": 30962}, ""FI_Asennus"": {""02 Komponentin yläpinnan korko, abs."": 54349.999, ""12 Komponentin yläpinnan korko, kerroskorosta"": 2449.999, ""13 Asennuskorko, kerroskorosta"": 2425.0, ""03 Asennuskorko, abs."": 54325.0, ""14 Komponentin alapinnan korko, kerroskorosta"": 2400.002, ""04 Komponentin alapinnan korko, abs."": 54300.002, ""id"": 30978}}"
