load_point_id,ifc_global_id,name,device_tag,ifc_class,load_kind,category,floor_id,storey,x,y,z,voltage_v,design_power_w,design_power_present,design_power_is_zero,power_factor,phase_count,luminous_flux_lm,system_code,system_name,component_main_group,component_sub_group,manufacturer,product_type_name,source_file,source_system,value_class,extraction_confidence,notes,raw_properties_json
lp_3B_HSwvvv2twUmnPkefFAX,3B_HSwvvv2twUmnPkefFAX,6c7be52db8144c9e8414d50bf57549,PIL01,IfcAlarm,alarm,other,floor_level_01,01_Kerros,-4.328,37.377,57.95,230.0,,False,False,,,,T0401,Paloilmoitin,TILALAITTEET - SÄH,ILMAISIMET JA ANTURIT - SÄH,-,6c7be52db8144c9e8414d50bf57549,ELE_enriched.ifc,ifc_ele,ifc_derived,high,"voltage present, design power missing","{""FI_Sijainti"": {""Järjestelmien tunnukset"": ""T0401"", ""Järjestelmien nimet"": ""Paloilmoitin"", ""id"": 30384}, ""FI_Tekninen"": {""Jännite"": 230.0, ""id"": 30386}, ""FI_Tuote"": {""Tuotetyypin kommentti"": ""\""Tuotetyypin kommentti\"""", ""Tuotetyypin nimi"": ""6c7be52db8144c9e8414d50bf57549"", ""Tuotetyypin valmistaja"": ""-"", ""Tuotetyypin kuvaus"": ""Lämpöilmaisin"", ""Tuotteen kommentti"": ""\""Tuotteen kommentti\"""", ""id"": 30388}, ""FI_Asennus"": {""02 Komponentin yläpinnan korko, abs."": 57949.998, ""12 Komponentin yläpinnan korko, kerroskorosta"": 2449.998, ""14 Komponentin alapinnan korko, kerroskorosta"": 2395.001, ""Asennustapa, nimi"": ""Katto"", ""Asennustapa, tunnus"": ""K"", ""13 Asennuskorko, kerroskorosta"": 2450.0, ""03 Asennuskorko, abs."": 57950.0, ""04 Komponentin alapinnan korko, abs."": 57895.001, ""id"": 30390}, ""FI_Komponentti"": {""Laitetunnus, yksilöllinen"": ""\""Laitetunnus, yksilöllinen\"""", ""05 Komponentin yleistunnus"": ""PIL"", ""Laitetunnus"": ""PIL01"", ""03 Komponentin koodi"": ""T-SAH-04-06-001"", ""04 Komponentin yleisnimi"": ""Paloilmaisin"", ""Status"": ""\""Status\"""", ""02 Komponentin alaryhmä"": ""ILMAISIMET JA ANTURIT - SÄH"", ""01 Komponentin pääryhmä"": ""TILALAITTEET - SÄH"", ""id"": 30392}}"
lp_3B_HSwvvv2twUmnPkefFAf,3B_HSwvvv2twUmnPkefFAf,6c7be52db8144c9e8414d50bf57549,PIL01,IfcAlarm,alarm,other,floor_level_01,01_Kerros,0.816,41.659,57.95,230.0,,False,False,,,,T0401,Paloilmoitin,TILALAITTEET - SÄH,ILMAISIMET JA ANTURIT - SÄH,-,6c7be52db8144c9e8414d50bf57549,ELE_enriched.ifc,ifc_ele,ifc_derived,high,"voltage present, design power missing","{""FI_Sijainti"": {""Järjestelmien tunnukset"": ""T0401"", ""Järjestelmien nimet"": ""Paloilmoitin"", ""id"": 30384}, ""FI_Tekninen"": {""Jännite"": 230.0, ""id"": 30386}, ""FI_Tuote"": {""Tuotetyypin kommentti"": ""\""Tuotetyypin kommentti\"""", ""Tuotetyypin nimi"": ""6c7be52db8144c9e8414d50bf57549"", ""Tuotetyypin valmistaja"": ""-"", ""Tuotetyypin kuvaus"": ""Lämpöilmaisin"", ""Tuotteen kommentti"": ""\""Tuotteen kommentti\"""", ""id"": 30388}, ""FI_Asennus"": {""02 Komponentin yläpinnan korko, abs."": 57949.998, ""12 Komponentin yläpinnan korko, kerroskorosta"": 2449.998, ""14 Komponentin alapinnan korko, kerroskorosta"": 2395.001, ""Asennustapa, nimi"": ""Katto"", ""Asennustapa, tunnus"": ""K"", ""13 Asennuskorko, kerroskorosta"": 2450.0, ""03 Asennuskorko, abs."": 57950.0, ""04 Komponentin alapinnan korko, abs."": 57895.001, ""id"": 30390}, ""FI_Komponentti"": {""Laitetunnus, yksilöllinen"": ""\""Laitetunnus, yksilöllinen\"""", ""05 Komponentin yleistunnus"": ""PIL"", ""Laitetunnus"": ""PIL01"", ""03 Komponentin koodi"": ""T-SAH-04-06-001"", ""04 Komponentin yleisnimi"": ""Paloilmaisin"", ""Status"": ""\""Status\"""", ""02 Komponentin alaryhmä"": ""ILMAISIMET JA ANTURIT - SÄH"", ""01 Komponentin pääryhmä"": ""TILALAITTEET - SÄH"", ""id"": 30392}}"
lp_3B_HSwvvv2twUmnPkefFBH,3B_HSwvvv2twUmnPkefFBH,6c7be52db8144c9e8414d50bf57549,PIL01,IfcAlarm,alarm,other,floor_level_01,01_Kerros,6.054,46.129,57.95,230.0,,False,False,,,,T0401,Paloilmoitin,TILALAITTEET - SÄH,ILMAISIMET JA ANTURIT - SÄH,-,6c7be52db8144c9e8414d50bf57549,ELE_enriched.ifc,ifc_ele,ifc_derived,high,"voltage present, design power missing","{""FI_Sijainti"": {""Järjestelmien tunnukset"": ""T0401"", ""Järjestelmien nimet"": ""Paloilmoitin"", ""id"": 30384}, ""FI_Tekninen"": {""Jännite"": 230.0, ""id"": 30386}, ""FI_Tuote"": {""Tuotetyypin kommentti"": ""\""Tuotetyypin kommentti\"""", ""Tuotetyypin nimi"": ""6c7be52db8144c9e8414d50bf57549"", ""Tuotetyypin valmistaja"": ""-"", ""Tuotetyypin kuvaus"": ""Lämpöilmaisin"", ""Tuotteen kommentti"": ""\""Tuotteen kommentti\"""", ""id"": 30388}, ""FI_Asennus"": {""02 Komponentin yläpinnan korko, abs."": 57949.998, ""12 Komponentin yläpinnan korko, kerroskorosta"": 2449.998, ""14 Komponentin alapinnan korko, kerroskorosta"": 2395.001, ""Asennustapa, nimi"": ""Katto"", ""Asennustapa, tunnus"": ""K"", ""13 Asennuskorko, kerroskorosta"": 2450.0, ""03 Asennuskorko, abs."": 57950.0, ""04 Komponentin alapinnan korko, abs."": 57895.001, ""id"": 30390}, ""FI_Komponentti"": {""Laitetunnus, yksilöllinen"": ""\""Laitetunnus, yksilöllinen\"""", ""05 Komponentin yleistunnus"": ""PIL"", ""Laitetunnus"": ""PIL01"", ""03 Komponentin koodi"": ""T-SAH-04-06-001"", ""04 Komponentin yleisnimi"": ""Paloilmaisin"", ""Status"": ""\""Status\"""", ""02 Komponentin alaryhmä"": ""ILMAISIMET JA ANTURIT - SÄH"", ""01 Komponentin pääryhmä"": ""TILALAITTEET - SÄH"", ""id"": 30392}}"
lp_3B_HSwvvv2twUmnPkefFBj,3B_HSwvvv2twUmnPkefFBj,6c7be52db8144c9e8414d50bf57549,PIL01,IfcAlarm,alarm,other,floor_level_01,01_Kerros,-1.092,33.566,57.95,230.0,,False,False,,,,T0401,Paloilmoitin,TILALAITTEET - SÄH,ILMAISIMET JA ANTURIT - SÄH,-,6c7be52db8144c9e8414d50bf57549,ELE_enriched.ifc,ifc_ele,ifc_derived,high,"voltage present, design power missing","{""FI_Sijainti"": {""Järjestelmien tunnukset"": ""T0401"", ""Järjestelmien nimet"": ""Paloilmoitin"", ""id"": 30384}, ""FI_Tekninen"": {""Jännite"": 230.0, ""id"": 30386}, ""FI_Tuote"": {""Tuotetyypin kommentti"": ""\""Tuotetyypin kommentti\"""", ""Tuotetyypin nimi"": ""6c7be52db8144c9e8414d50bf57549"", ""Tuotetyypin valmistaja"": ""-"", ""Tuotetyypin kuvaus"": ""Lämpöilmaisin"", ""Tuotteen kommentti"": ""\""Tuotteen kommentti\"""", ""id"": 30388}, ""FI_Asennus"": {""02 Komponentin yläpinnan korko, abs."": 57949.998, ""12 Komponentin yläpinnan korko, kerroskorosta"": 2449.998, ""14 Komponentin alapinnan korko, kerroskorosta"": 2395.001, ""Asennustapa, nimi"": ""Katto"", ""Asennustapa, tunnus"": ""K"", ""13 Asennuskorko, kerroskorosta"": 2450.0, ""03 Asennuskorko, abs."": 57950.0, ""04 Komponentin alapinnan korko, abs."": 57895.001, ""id"": 30390}, ""FI_Komponentti"": {""Laitetunnus, yksilöllinen"": ""\""Laitetunnus, yksilöllinen\"""", ""05 Komponentin yleistunnus"": ""PIL"", ""Laitetunnus"": ""PIL01"", ""03 Komponentin koodi"": ""T-SAH-04-06-001"", ""04 Komponentin yleisnimi"": ""Paloilmaisin"", ""Status"": ""\""Status\"""", ""02 Komponentin alaryhmä"": ""ILMAISIMET JA ANTURIT - SÄH"", ""01 Komponentin pääryhmä"": ""TILALAITTEET - SÄH"", ""id"": 30392}}"
lp_3B_HSwvvv2twUmnPkefFBi,3B_HSwvvv2twUmnPkefFBi,6c7be52db8144c9e8414d50bf57549,PIL01,IfcAlarm,alarm,other,floor_level_01,01_Kerros,4.052,37.847,57.95,230.0,,False,False,,,,T0401,Paloilmoitin,TILALAITTEET - SÄH,ILMAISIMET JA ANTURIT - SÄH,-,6c7be52db8144c9e8414d50bf57549,ELE_enriched.ifc,ifc_ele,ifc_derived,high,"voltage present, design power missing","{""FI_Sijainti"": {""Järjestelmien tunnukset"": ""T0401"", ""Järjestelmien nimet"": ""Paloilmoitin"", ""id"": 30384}, ""FI_Tekninen"": {""Jännite"": 230.0, ""id"": 30386}, ""FI_Tuote"": {""Tuotetyypin kommentti"": ""\""Tuotetyypin kommentti\"""", ""Tuotetyypin nimi"": ""6c7be52db8144c9e8414d50bf57549"", ""Tuotetyypin valmistaja"": ""-"", ""Tuotetyypin kuvaus"": ""Lämpöilmaisin"", ""Tuotteen kommentti"": ""\""Tuotteen kommentti\"""", ""id"": 30388}, ""FI_Asennus"": {""02 Komponentin yläpinnan korko, abs."": 57949.998, ""12 Komponentin yläpinnan korko, kerroskorosta"": 2449.998, ""14 Komponentin alapinnan korko, kerroskorosta"": 2395.001, ""Asennustapa, nimi"": ""Katto"", ""Asennustapa, tunnus"": ""K"", ""13 Asennuskorko, kerroskorosta"": 2450.0, ""03 Asennuskorko, abs."": 57950.0, ""04 Komponentin alapinnan korko, abs."": 57895.001, ""id"": 30390}, ""FI_Komponentti"": {""Laitetunnus, yksilöllinen"": ""\""Laitetunnus, yksilöllinen\"""", ""05 Komponentin yleistunnus"": ""PIL"", ""Laitetunnus"": ""PIL01"", ""03 Komponentin koodi"": ""T-SAH-04-06-001"", ""04 Komponentin yleisnimi"": ""Paloilmaisin"", ""Status"": ""\""Status\"""", ""02 Komponentin alaryhmä"": ""ILMAISIMET JA ANTURIT - SÄH"", ""01 Komponentin pääryhmä"": ""TILALAITTEET - SÄH"", ""id"": 30392}}"
lp_3B_HSwvvv2twUmnPkefFBl,3B_HSwvvv2twUmnPkefFBl,6c7be52db8144c9e8414d50bf57549,PIL01,IfcAlarm,alarm,other,floor_level_01,01_Kerros,9.29,42.317,57.95,230.0,,False,False,,,,T0401,Paloilmoitin,TILALAITTEET - SÄH,ILMAISIMET JA ANTURIT - SÄH,-,6c7be52db8144c9e8414d50bf57549,ELE_enriched.ifc,ifc_ele,ifc_derived,high,"voltage present, design power missing","{""FI_Sijainti"": {""Järjestelmien tunnukset"": ""T0401"", ""Järjestelmien nimet"": ""Paloilmoitin"", ""id"": 30384}, ""FI_Tekninen"": {""Jännite"": 230.0, ""id"": 30386}, ""FI_Tuote"": {""Tuotetyypin kommentti"": ""\""Tuotetyypin kommentti\"""", ""Tuotetyypin nimi"": ""6c7be52db8144c9e8414d50bf57549"", ""Tuotetyypin valmistaja"": ""-"", ""Tuotetyypin kuvaus"": ""Lämpöilmaisin"", ""Tuotteen kommentti"": ""\""Tuotteen kommentti\"""", ""id"": 30388}, ""FI_Asennus"": {""02 Komponentin yläpinnan korko, abs."": 57949.998, ""12 Komponentin yläpinnan korko, kerroskorosta"": 2449.998, ""14 Komponentin alapinnan korko, kerroskorosta"": 2395.001, ""Asennustapa, nimi"": ""Katto"", ""Asennustapa, tunnus"": ""K"", ""13 Asennuskorko, kerroskorosta"": 2450.0, ""03 Asennuskorko, abs."": 57950.0, ""04 Komponentin alapinnan korko, abs."": 57895.001, ""id"": 30390}, ""FI_Komponentti"": {""Laitetunnus, yksilöllinen"": ""\""Laitetunnus, yksilöllinen\"""", ""05 Komponentin yleistunnus"": ""PIL"", ""Laitetunnus"": ""PIL01"", ""03 Komponentin koodi"": ""T-SAH-04-06-001"", ""04 Komponentin yleisnimi"": ""Paloilmaisin"", ""Status"": ""\""Status\"""", ""02 Komponentin alaryhmä"": ""ILMAISIMET JA ANTURIT - SÄH"", ""01 Komponentin pääryhmä"": ""TILALAITTEET - SÄH"", ""id"": 30392}}"
lp_3B_HSwvvv2twUmnPkefFCI,3B_HSwvvv2twUmnPkefFCI,6c7be52db8144c9e8414d50bf57549,PIL01,IfcAlarm,alarm,other,floor_level_01,01_Kerros,2.144,29.754,57.95,230.0,,False,False,,,,T0401,Paloilmoitin,TILALAITTEET - SÄH,ILMAISIMET JA ANTURIT - SÄH,-,6c7be52db8144c9e8414d50bf57549,ELE_enriched.ifc,ifc_ele,ifc_derived,high,"voltage present, design power missing","{""FI_Sijainti"": {""Järjestelmien tunnukset"": ""T0401"", ""Järjestelmien nimet"": ""Paloilmoitin"", ""id"": 30384}, ""FI_Tekninen"": {""Jännite"": 230.0, ""id"": 30386}, ""FI_Tuote"": {""Tuotetyypin kommentti"": ""\""Tuotetyypin kommentti\"""", ""Tuotetyypin nimi"": ""6c7be52db8144c9e8414d50bf57549"", ""Tuotetyypin valmistaja"": ""-"", ""Tuotetyypin kuvaus"": ""Lämpöilmaisin"", ""Tuotteen kommentti"": ""\""Tuotteen kommentti\"""", ""id"": 30388}, ""FI_Asennus"": {""02 Komponentin yläpinnan korko, abs."": 57949.998, ""12 Komponentin yläpinnan korko, kerroskorosta"": 2449.998, ""14 Komponentin alapinnan korko, kerroskorosta"": 2395.001, ""Asennustapa, nimi"": ""Katto"", ""Asennustapa, tunnus"": ""K"", ""13 Asennuskorko, kerroskorosta"": 2450.0, ""03 Asennuskorko, abs."": 57950.0, ""04 Komponentin alapinnan korko, abs."": 57895.001, ""id"": 30390}, ""FI_Komponentti"": {""Laitetunnus, yksilöllinen"": ""\""Laitetunnus, yksilöllinen\"""", ""05 Komponentin yleistunnus"": ""PIL"", ""Laitetunnus"": ""PIL01"", ""03 Komponentin koodi"": ""T-SAH-04-06-001"", ""04 Komponentin yleisnimi"": ""Paloilmaisin"", ""Status"": ""\""Status\"""", ""02 Komponentin alaryhmä"": ""ILMAISIMET JA ANTURIT - SÄH"", ""01 Komponentin pääryhmä"": ""TILALAITTEET - SÄH"", ""id"": 30392}}"
lp_3B_HSwvvv2twUmnPkefFCT,3B_HSwvvv2twUmnPkefFCT,6c7be52db8144c9e8414d50bf57549,PIL01,IfcAlarm,alarm,other,floor_level_01,01_Kerros,7.288,34.036,57.95,230.0,,False,False,,,,T0401,Paloilmoitin,TILALAITTEET - SÄH,ILMAISIMET JA ANTURIT - SÄH,-,6c7be52db8144c9e8414d50bf57549,ELE_enriched.ifc,ifc_ele,ifc_derived,high,"voltage present, design power missing","{""FI_Sijainti"": {""Järjestelmien tunnukset"": ""T0401"", ""Järjestelmien nimet"": ""Paloilmoitin"", ""id"": 30384}, ""FI_Tekninen"": {""Jännite"": 230.0, ""id"": 30386}, ""FI_Tuote"": {""Tuotetyypin kommentti"": ""\""Tuotetyypin kommentti\"""", ""Tuotetyypin nimi"": ""6c7be52db8144c9e8414d50bf57549"", ""Tuotetyypin valmistaja"": ""-"", ""Tuotetyypin kuvaus"": ""Lämpöilmaisin"", ""Tuotteen kommentti"": ""\""Tuotteen kommentti\"""", ""id"": 30388}, ""FI_Asennus"": {""02 Komponentin yläpinnan korko, abs."": 57949.998, ""12 Komponentin yläpinnan korko, kerroskorosta"": 2449.998, ""14 Komponentin alapinnan korko, kerroskorosta"": 2395.001, ""Asennustapa, nimi"": ""Katto"", ""Asennustapa, tunnus"": ""K"", ""13 Asennuskorko, kerroskorosta"": 2450.0, ""03 Asennuskorko, abs."": 57950.0, ""04 Komponentin alapinnan korko, abs."": 57895.001, ""id"": 30390}, ""FI_Komponentti"": {""Laitetunnus, yksilöllinen"": ""\""Laitetunnus, yksilöllinen\"""", ""05 Komponentin yleistunnus"": ""PIL"", ""Laitetunnus"": ""PIL01"", ""03 Komponentin koodi"": ""T-SAH-04-06-001"", ""04 Komponentin yleisnimi"": ""Paloilmaisin"", ""Status"": ""\""Status\"""", ""02 Komponentin alaryhmä"": ""ILMAISIMET JA ANTURIT - SÄH"", ""01 Komponentin pääryhmä"": ""TILALAITTEET - SÄH"", ""id"": 30392}}"
lp_3B_HSwvvv2twUmnPkefFCS,3B_HSwvvv2twUmnPkefFCS,6c7be52db8144c9e8414d50bf57549,PIL01,IfcAlarm,alarm,other,floor_level_01,01_Kerros,12.526,38.505,57.95,230.0,,False,False,,,,T0401,Paloilmoitin,TILALAITTEET - SÄH,ILMAISIMET JA ANTURIT - SÄH,-,6c7be52db8144c9e8414d50bf57549,ELE_enriched.ifc,ifc_ele,ifc_derived,high,"voltage present, design power missing","{""FI_Sijainti"": {""Järjestelmien tunnukset"": ""T0401"", ""Järjestelmien nimet"": ""Paloilmoitin"", ""id"": 30384}, ""FI_Tekninen"": {""Jännite"": 230.0, ""id"": 30386}, ""FI_Tuote"": {""Tuotetyypin kommentti"": ""\""Tuotetyypin kommentti\"""", ""Tuotetyypin nimi"": ""6c7be52db8144c9e8414d50bf57549"", ""Tuotetyypin valmistaja"": ""-"", ""Tuotetyypin kuvaus"": ""Lämpöilmaisin"", ""Tuotteen kommentti"": ""\""Tuotteen kommentti\"""", ""id"": 30388}, ""FI_Asennus"": {""02 Komponentin yläpinnan korko, abs."": 57949.998, ""12 Komponentin yläpinnan korko, kerroskorosta"": 2449.998, ""14 Komponentin alapinnan korko, kerroskorosta"": 2395.001, ""Asennustapa, nimi"": ""Katto"", ""Asennustapa, tunnus"": ""K"", ""13 Asennuskorko, kerroskorosta"": 2450.0, ""03 Asennuskorko, abs."": 57950.0, ""04 Komponentin alapinnan korko, abs."": 57895.001, ""id"": 30390}, ""FI_Komponentti"": {""Laitetunnus, yksilöllinen"": ""\""Laitetunnus, yksilöllinen\"""", ""05 Komponentin yleistunnus"": ""PIL"", ""Laitetunnus"": ""PIL01"", ""03 Komponentin koodi"": ""T-SAH-04-06-001"", ""04 Komponentin yleisnimi"": ""Paloilmaisin"", ""Status"": ""\""Status\"""", ""02 Komponentin alaryhmä"": ""ILMAISIMET JA ANTURIT - SÄH"", ""01 Komponentin pääryhmä"": ""TILALAITTEET - SÄH"", ""id"": 30392}}"
lp_3B_HSwvvv2twUmnPkefFC3,3B_HSwvvv2twUmnPkefFC3,6c7be52db8144c9e8414d50bf57549,PIL01,IfcAlarm,alarm,other,floor_level_01,01_Kerros,5.38,25.942,57.95,230.0,,False,False,,,,T0401,Paloilmoitin,TILALAITTEET - SÄH,ILMAISIMET JA ANTURIT - SÄH,-,6c7be52db8144c9e8414d50bf57549,ELE_enriched.ifc,ifc_ele,ifc_derived,high,"voltage present, design power missing","{""FI_Sijainti"": {""Järjestelmien tunnukset"": ""T0401"", ""Järjestelmien nimet"": ""Paloilmoitin"", ""id"": 30384}, ""FI_Tekninen"": {""Jännite"": 230.0, ""id"": 30386}, ""FI_Tuote"": {""Tuotetyypin kommentti"": ""\""Tuotetyypin kommentti\"""", ""Tuotetyypin nimi"": ""6c7be52db8144c9e8414d50bf57549"", ""Tuotetyypin valmistaja"": ""-"", ""Tuotetyypin kuvaus"": ""Lämpöilmaisin"", ""Tuotteen kommentti"": ""\""Tuotteen kommentti\"""", ""id"": 30388}, ""FI_Asennus"": {""02 Komponentin yläpinnan korko, abs."": 57949.998, ""12 Komponentin yläpinnan korko, kerroskorosta"": 2449.998, ""14 Komponentin alapinnan korko, kerroskorosta"": 2395.001, ""Asennustapa, nimi"": ""Katto"", ""Asennustapa, tunnus"": ""K"", ""13 Asennuskorko, kerroskorosta"": 2450.0, ""03 Asennuskorko, abs."": 57950.0, ""04 Komponentin alapinnan korko, abs."": 57895.001, ""id"": 30390}, ""FI_Komponentti"": {""Laitetunnus, yksilöllinen"": ""\""Laitetunnus, yksilöllinen\"""", ""05 Komponentin yleistunnus"": ""PIL"", ""Laitetunnus"": ""PIL01"", ""03 Komponentin koodi"": ""T-SAH-04-06-001"", ""04 Komponentin yleisnimi"": ""Paloilmaisin"", ""Status"": ""\""Status\"""", ""02 Komponentin alaryhmä"": ""ILMAISIMET JA ANTURIT - SÄH"", ""01 Komponentin pääryhmä"": ""TILALAITTEET - SÄH"", ""id"": 30392}}"
lp_3B_HSwvvv2twUmnPkefFC2,3B_HSwvvv2twUmnPkefFC2,6c7be52db8144c9e8414d50bf57549,PIL01,IfcAlarm,alarm,other,floor_level_01,01_Kerros,10.524,30.224,57.95,230.0,,False,False,,,,T0401,Paloilmoitin,TILALAITTEET - SÄH,ILMAISIMET JA ANTURIT - SÄH,-,6c7be52db8144c9e8414d50bf57549,ELE_enriched.ifc,ifc_ele,ifc_derived,high,"voltage present, design power missing","{""FI_Sijainti"": {""Järjestelmien tunnukset"": ""T0401"", ""Järjestelmien nimet"": ""Paloilmoitin"", ""id"": 30384}, ""FI_Tekninen"": {""Jännite"": 230.0, ""id"": 30386}, ""FI_Tuote"": {""Tuotetyypin kommentti"": ""\""Tuotetyypin kommentti\"""", ""Tuotetyypin nimi"": ""6c7be52db8144c9e8414d50bf57549"", ""Tuotetyypin valmistaja"": ""-"", ""Tuotetyypin kuvaus"": ""Lämpöilmaisin"", ""Tuotteen kommentti"": ""\""Tuotteen kommentti\"""", ""id"": 30388}, ""FI_Asennus"": {""02 Komponentin yläpinnan korko, abs."": 57949.998, ""12 Komponentin yläpinnan korko, kerroskorosta"": 2449.998, ""14 Komponentin alapinnan korko, kerroskorosta"": 2395.001, ""Asennustapa, nimi"": ""Katto"", ""Asennustapa, tunnus"": ""K"", ""13 Asennuskorko, kerroskorosta"": 2450.0, ""03 Asennuskorko, abs."": 57950.0, ""04 Komponentin alapinnan korko, abs."": 57895.001, ""id"": 30390}, ""FI_Komponentti"": {""Laitetunnus, yksilöllinen"": ""\""Laitetunnus, yksilöllinen\"""", ""05 Komponentin yleistunnus"": ""PIL"", ""Laitetunnus"": ""PIL01"", ""03 Komponentin koodi"": ""T-SAH-04-06-001"", ""04 Komponentin yleisnimi"": ""Paloilmaisin"", ""Status"": ""\""Status\"""", ""02 Komponentin alaryhmä"": ""ILMAISIMET JA ANTURIT - SÄH"", ""01 Komponentin pääryhmä"": ""TILALAITTEET - SÄH"", ""id"": 30392}}"
lp_3B_HSwvvv2twUmnPkefFCD,3B_HSwvvv2twUmnPkefFCD,6c7be52db8144c9e8414d50bf57549,PIL01,IfcAlarm,alarm,other,floor_level_01,01_Kerros,15.762,34.694,57.95,230.0,,False,False,,,,T0401,Paloilmoitin,TILALAITTEET - SÄH,ILMAISIMET JA ANTURIT - SÄH,-,6c7be52db8144c9e8414d50bf57549,ELE_enriched.ifc,ifc_ele,ifc_derived,high,"voltage present, design power missing","{""FI_Sijainti"": {""Järjestelmien tunnukset"": ""T0401"", ""Järjestelmien nimet"": ""Paloilmoitin"", ""id"": 30384}, ""FI_Tekninen"": {""Jännite"": 230.0, ""id"": 30386}, ""FI_Tuote"": {""Tuotetyypin kommentti"": ""\""Tuotetyypin kommentti\"""", ""Tuotetyypin nimi"": ""6c7be52db8144c9e8414d50bf57549"", ""Tuotetyypin valmistaja"": ""-"", ""Tuotetyypin kuvaus"": ""Lämpöilmaisin"", ""Tuotteen kommentti"": ""\""Tuotteen kommentti\"""", ""id"": 30388}, ""FI_Asennus"": {""02 Komponentin yläpinnan korko, abs."": 57949.998, ""12 Komponentin yläpinnan korko, kerroskorosta"": 2449.998, ""14 Komponentin alapinnan korko, kerroskorosta"": 2395.001, ""Asennustapa, nimi"": ""Katto"", ""Asennustapa, tunnus"": ""K"", ""13 Asennuskorko, kerroskorosta"": 2450.0, ""03 Asennuskorko, abs."": 57950.0, ""04 Komponentin alapinnan korko, abs."": 57895.001, ""id"": 30390}, ""FI_Komponentti"": {""Laitetunnus, yksilöllinen"": ""\""Laitetunnus, yksilöllinen\"""", ""05 Komponentin yleistunnus"": ""PIL"", ""Laitetunnus"": ""PIL01"", ""03 Komponentin koodi"": ""T-SAH-04-06-001"", ""04 Komponentin yleisnimi"": ""Paloilmaisin"", ""Status"": ""\""Status\"""", ""02 Komponentin alaryhmä"": ""ILMAISIMET JA ANTURIT - SÄH"", ""01 Komponentin pääryhmä"": ""TILALAITTEET - SÄH"", ""id"": 30392}}"
lp_0fm3GrOJ5Cmh0l9GPspjan,0fm3GrOJ5Cmh0l9GPspjan,C504408400400100,SIV05,IfcLightFixture,lighting,lights,floor_basement,00_Kellari,16.163,42.069,55.05,230.0,0.0,True,True,0.97,1.0,0.0,S0301,Pääjakelu - vaihtosähkö,TILALAITTEET - SÄH,VALAISIMET,,C504408400400100,ELE_enriched.ifc,ifc_ele,ifc_derived,high,,"{""FI_Sijainti"": {""Järjestelmien nimet"": ""Pääjakelu - vaihtosähkö"", ""Järjestelmien tunnukset"": ""S0301"", ""id"": 33271}, ""FI_Asennus"": {""12 Komponentin yläpinnan korko, kerroskorosta"": 2500.0, ""13 Asennuskorko, kerroskorosta"": 2500.0, ""02 Komponentin yläpinnan korko, abs."": 54400.0, ""03 Asennuskorko, abs."": 54400.0, ""14 Komponentin alapinnan korko, kerroskorosta"": 2400.002, ""04 Komponentin alapinnan korko, abs."": 54300.002, ""id"": 33307}, ""FI_Tekninen"": {""Teho"": 0.0, ""Valovirta"": 0.0, ""Vaiheiden lukumäärä"": 1.0, ""Jännite"": 230.0, ""Tehokerroin"": 0.97, ""id"": 33321}, ""FI_Komponentti"": {""Laitetunnus, yksilöllinen"": ""\""Laitetunnus, yksilöllinen\"""", ""05 Komponentin yleistunnus"": ""SIV"", ""04 Komponentin yleisnimi"": ""Sisävalaisin"", ""Laitetunnus"": ""SIV05"", ""03 Komponentin koodi"": ""T-SAH-04-05-001"", ""Status"": ""\""Status\"""", ""02 Komponentin alaryhmä"": ""VALAISIMET"", ""01 Komponentin pääryhmä"": ""TILALAITTEET - SÄH"", ""id"": 33333}, ""FI_Tuote"": {""Tuotetyypin kommentti"": ""\""Tuotetyypin kommentti\"""", ""Tuotetyypin kuvaus"": ""Käytävät"", ""Tuotetyypin nimi"": ""C504408400400100"", ""Tuotteen kommentti"": ""\""Tuotteen kommentti\"""", ""id"": 33375}}"
